
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
9E:05:D6:36:0D:7D, 2025-06-09 17:20:16, 2025-06-09 17:21:06, -1,  -1, , ,   , -84,        0,        0,   0.  0.  0.  0,   0, , 
DA:B3:70:16:F8:59, 2025-06-09 17:20:16, 2025-06-09 17:21:05, -1,  -1, , ,   , -62,        0,        0,   0.  0.  0.  0,   0, , 
9E:05:D6:13:BB:D1, 2025-06-09 17:20:16, 2025-06-09 17:20:16, -1,  -1, , ,   , -62,        0,        0,   0.  0.  0.  0,   0, , 
F6:E2:C6:2B:FA:39, 2025-06-09 17:20:19, 2025-06-09 17:20:58, -1,  -1, , ,   , -64,        0,        0,   0.  0.  0.  0,   0, , 
58:AF:F1:B3:CB:70, 2025-06-09 17:20:20, 2025-06-09 17:21:11, -1,  -1, , ,   , -76,        0,        0,   0.  0.  0.  0,   0, , 
9C:05:D6:16:0D:7D, 2025-06-09 17:20:23, 2025-06-09 17:20:32, -1,  -1, , ,   , -41,        0,        0,   0.  0.  0.  0,  10, Smartboard, 
DA:B3:70:16:F4:25, 2025-06-09 17:20:24, 2025-06-09 17:20:24, -1,  -1, , ,   , -74,        0,        0,   0.  0.  0.  0,   0, , 
DA:B3:70:19:73:41, 2025-06-09 17:20:24, 2025-06-09 17:20:45, -1,  -1, , ,   , -70,        0,        0,   0.  0.  0.  0,   0, , 
9E:05:D6:26:6B:C9, 2025-06-09 17:20:32, 2025-06-09 17:20:41, -1,  -1, , ,   , -80,        0,        0,   0.  0.  0.  0,   0, , 
9E:05:D6:19:03:AD, 2025-06-09 17:20:43, 2025-06-09 17:21:02, -1,  -1, , ,   , -22,        0,        0,   0.  0.  0.  0,   0, , 
DA:B3:70:29:04:E5, 2025-06-09 17:20:50, 2025-06-09 17:21:10, -1,  -1, , ,   , -74,        0,        0,   0.  0.  0.  0,   0, , 
3C:F8:08:14:EA:C0, 2025-06-09 17:21:05, 2025-06-09 17:21:05, -1,  -1, , ,   , -76,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
34:6F:24:38:FE:77, 2025-06-09 17:20:13, 2025-06-09 17:21:11, -45,      126, (not associated) ,
D2:FB:1C:ED:34:D2, 2025-06-09 17:20:13, 2025-06-09 17:20:13, -81,        1, (not associated) ,
52:2D:FB:5F:F0:66, 2025-06-09 17:20:13, 2025-06-09 17:20:14, -55,        8, (not associated) ,
E8:DB:84:C9:AC:C4, 2025-06-09 17:20:14, 2025-06-09 17:20:28, -62,        4, 9C:05:D6:16:0D:7D,Smartboard
2E:71:D9:A5:6E:C5, 2025-06-09 17:20:14, 2025-06-09 17:20:14, -45,        2, (not associated) ,
56:10:F8:7F:BE:0A, 2025-06-09 17:20:14, 2025-06-09 17:20:49, -59,       26, (not associated) ,
00:C0:CA:B8:49:30, 2025-06-09 17:20:15, 2025-06-09 17:20:16, -49,        8, (not associated) ,
00:C0:CA:B6:A2:7B, 2025-06-09 17:20:15, 2025-06-09 17:20:16, -45,        4, (not associated) ,
00:C0:CA:B8:49:35, 2025-06-09 17:20:16, 2025-06-09 17:20:16, -77,        2, (not associated) ,
4C:EB:D6:CA:ED:77, 2025-06-09 17:20:16, 2025-06-09 17:20:16, -73,        1, DA:B3:70:16:F8:59,
C2:E6:DD:D5:15:1A, 2025-06-09 17:20:18, 2025-06-09 17:20:52, -59,        7, F6:E2:C6:2B:FA:39,Workshop-08
EA:4B:A4:89:88:39, 2025-06-09 17:20:18, 2025-06-09 17:20:18, -75,        1, (not associated) ,
4E:E4:FB:D8:9D:6B, 2025-06-09 17:20:20, 2025-06-09 17:20:20, -77,        1, (not associated) ,
4A:9C:4A:9A:ED:32, 2025-06-09 17:20:20, 2025-06-09 17:20:20, -51,        2, (not associated) ,
4E:82:3E:39:43:D2, 2025-06-09 17:20:21, 2025-06-09 17:20:21, -65,        2, (not associated) ,
E6:F5:A4:52:69:E8, 2025-06-09 17:20:21, 2025-06-09 17:21:00, -24,       16, (not associated) ,
AA:17:C9:3D:92:C4, 2025-06-09 17:20:21, 2025-06-09 17:21:00, -24,       29, (not associated) ,
F6:BC:A2:33:B9:0B, 2025-06-09 17:20:22, 2025-06-09 17:20:55, -61,        6, (not associated) ,Workshop-08
